id,title,url,local,city
1,悦亨化妆品美容养生馆,https://travel.qunar.com/p-oi5382646-yuehenghuazhuangpinsp,胜利街74,(威海)
2,如泉汗蒸美容养生馆,https://travel.qunar.com/p-oi5408751-ruquanhanzhengspan_cl,西陵区亚洲广场A座702室,(宜昌)
3,玻妃美容养生会馆,https://travel.qunar.com/p-oi8906642-bofeispan_classcolora,阜阳市颍州区易景国际幼儿园向东100米路南（易景国际40栋102号）,(阜阳)
4,御森堂美容养生馆,https://travel.qunar.com/p-oi19533291-yusentangspan_classco,富力城二期12栋1-5,(重庆)
5,兰芯美容养生馆,https://travel.qunar.com/p-oi34741937-lanxinspan_classcolor,国际名城5号楼5--102室,(海口)
6,女子美容养生中医沙药灸,https://travel.qunar.com/p-oi34335081-nu:zispan_classcolora,海龙香槟大道58号楼,(荥阳)
7,汇享汗蒸美容养生馆,https://travel.qunar.com/p-oi34574662-huixianghanzhengspan_,北京西路永乐家园24楼2411室,(凯里)
8,蒸美丽美容养生馆(福永店2),https://travel.qunar.com/p-oi34582074-zhengmeilispan_classc,福永街道白石厦路(裕华园东5B文公寓一楼),(深圳)
9,汗蒸美容养生馆,https://travel.qunar.com/p-oi34835552-hanzhengspan_classcol,卫柿线摩卡旁,(济源)
10,梦婷美容养生汗蒸会所,https://travel.qunar.com/p-oi34559449-mengtingspan_classcol,雄楚大道雄楚一号商业街商2栋206,(武汉)
11,大唐和臻谷美容养生(高埗卓越中心),https://travel.qunar.com/p-oi34533488-datanghezhenguspan_cl,振兴东八横路3-16号(工商银行),(东莞)
12,圣薇汗蒸美容养生会馆,https://travel.qunar.com/p-oi34665208-shengweihanzhengspan_,太平庄中二街通苑北三区南门50号楼4单元102室(近国泰百货),(北京)
13,康美星美容养生会所,https://travel.qunar.com/p-oi34908646-kangmeixingspan_class,"地标大厦A栋四楼4406号,兴业银行上面",(东莞)
14,润姿坊美容养生汗蒸连锁会馆,https://travel.qunar.com/p-oi34685138-runzifangspan_classco,荆竹坝路九号荆竹小区一号院大门口(上行锦绣1号门对面),(成都)
15,齐美堂美容养生馆,https://travel.qunar.com/p-oi34335012-qimeitangspan_classco,江南路63号1层,(东莞)
16,尤朵美容养生馆,https://travel.qunar.com/p-oi34600315-youduospan_classcolor,金龙路10号景瑞花园景瑞阁106室,(海口)
17,禅意美容养生馆,https://travel.qunar.com/p-oi34473620-shanyispan_classcolor,双福镇时代广场双庆路200号附1号,(重庆)
18,丽元堂美容养生馆,https://travel.qunar.com/p-oi34481152-liyuantangspan_classc,岭南路103号,(广州)
19,大自然美容养生会所,https://travel.qunar.com/p-oi34535138-daziranspan_classcolo,亚武路金城派出所对面(金城派出所),(灵宝)
20,葆蒂兰美容养生按摩,https://travel.qunar.com/p-oi34497526-baodilanspan_classcol,富强路17号,(巴彦淖尔)
21,缘源美容养生会所,https://travel.qunar.com/p-oi34833724-yuanyuanspan_classcol,康井路命官营37幢7号二楼,(玉溪)
22,逆时光美容养生,https://travel.qunar.com/p-oi34310529-nishiguangspan_classc,化机厂四号生活区对面,(永济)
23,舒韵美容养生会所,https://travel.qunar.com/p-oi34430538-shuyunspan_classcolor,城南新苑北区64号,(朝阳)
24,丽康美容养生会所,https://travel.qunar.com/p-oi34487552-likangspan_classcolor,312省道,(临沧)
25,悦己美容养生,https://travel.qunar.com/p-oi34384935-yuejispan_classcolora,芙蓉中路新时代广场北栋5楼506室,(长沙)
26,魅若星辰美容养生会所,https://travel.qunar.com/p-oi34467285-meiruoxingchenspan_cl,金珠西路日月湖水景花园2-8-11号,(拉萨)
27,丹美尔美容养生会馆,https://travel.qunar.com/p-oi34511531-danmeierspan_classcol,滨河北街7195大裕时尚烧烤旁,(梅河口)
28,兴仁县千年瑶浴美容养生馆,https://travel.qunar.com/p-oi34813257-xingrenxianqiannianyao,振兴大道与美食街交叉口西150米,(兴仁)
29,舒淇美容养生馆,https://travel.qunar.com/p-oi34435314-shuqispan_classcolora,五象路400号,(南宁)
30,伊笙美容养生,https://travel.qunar.com/p-oi34630722-yishengspan_classcolo,浦东南路978号,(上海)
31,你到我家美容养生全国连锁,https://travel.qunar.com/p-oi34646524-nidaowojiaspan_classc,飞山街祥源大厦A栋20楼1号,(贵阳)
32,成丽美容养生理疗馆,https://travel.qunar.com/p-oi34603250-chenglispan_classcolo,华福大道北段16号10幢11-6,(重庆)
33,香港靓媄国际美容养生会所,https://travel.qunar.com/p-oi34550895-xianggangjingmeiguoji,红星一路74号,(华蓥)
34,焕美时代美容养生会所,https://travel.qunar.com/p-oi34507460-huanmeishidaispan_cla,长兴路161号,(玉环)
35,足鼎美容养生连锁,https://travel.qunar.com/p-oi34451838-zudingspan_classcolor,甫家一路东段540号,(成都)
36,化蝶果蔬美容养生馆,https://travel.qunar.com/p-oi34533134-huadieguoshuspan_clas,武江区沙湖绿洲芙蓉北路二路2-2,(韶关)
37,舒仕博雅美容养生会所,https://travel.qunar.com/p-oi34587348-shushiboyaspan_classc,大润发肯德基斜对面舒仕博雅美容养生会所,(松原)
38,国珍汗蒸按摩美容养生馆,https://travel.qunar.com/p-oi34689808-guozhenhanzhenganmosp,大同平城区云中路805号,(大同)
39,华蒸天下美容养生馆,https://travel.qunar.com/p-oi34716884-huazhengtianxiaspan_c,金域华城商业街东侧中天幼儿园对面华蒸天下美容养生馆,(赤峰)
40,倾颜美容养生中心,https://travel.qunar.com/p-oi34732932-qingyanspan_classcolo,泉州丰泽区SOHOB座1501室,(泉州)
41,青春洗化美容养生馆,https://travel.qunar.com/p-oi34639940-qingchunxihuaspan_cla,三龙镇兴隆中路19号,(盐城)
42,优雅女王美容养生会所,https://travel.qunar.com/p-oi34645217-youyanu:wangspan_clas,怀远路340号,(宿州)
43,宁静美容养生会所,https://travel.qunar.com/p-oi34843824-ningjingspan_classcol,河滨东路河滨小学往南50米,(灵宝)
44,鑫朗沐足美容养生会所,https://travel.qunar.com/p-oi34859544-xinlangmuzuspan_class,巷尾管理区长盛北路173号(桥安商务宾馆二三楼),(东莞)
45,兰庭蝶姿汗蒸美容养生馆,https://travel.qunar.com/p-oi34786568-lantingdiezihanzhengs,太和城东路46号(北安街办东100米),(青岛)
46,金太阳健康美容养生会所(五岭店),https://travel.qunar.com/p-oi34828946-jintaiyangjiankangspa,五岭大道23号五岭花园旁,(郴州)
47,金芦荟美容养生锗石汗蒸调理中心,https://travel.qunar.com/p-oi34355974-jinluhuispan_classcol,中心广场新乐超市旁,(民乐)
48,玲玲美容养生,https://travel.qunar.com/p-oi34375246-linglingspan_classcol,兴中小区20栋30号二楼203室,(义乌)
49,菲凡尚香美容养生(温馨家园店),https://travel.qunar.com/p-oi34390148-feifanshangxiangspan_,温馨家园西区北门23号楼三单元4O6,(茌平)
50,红思羽美容养生,https://travel.qunar.com/p-oi34350264-hongsiyuspan_classcol,盛泰华庭建行旁6栋2单元101室,(当阳)
51,耳丽之年可视采耳美容养生会所,https://travel.qunar.com/p-oi34374441-erlizhiniankeshicaier,花市一条街福林东门斜对面,(盘锦)
52,武江区好睡眠美容养生馆,https://travel.qunar.com/p-oi34374471-wujiangquhaoshuimians,沙洲路43号,(韶关)
53,新郑市国尊美容养生馆,https://travel.qunar.com/p-oi34462167-xinzhengshiguozunspan,双湖大道百合花园2号楼2单元101,(新郑)
54,家辉美容养生,https://travel.qunar.com/p-oi34761817-jiahuispan_classcolor,221省道南坪花苑48号楼,(海安)
55,坤颐美容养生理疗馆,https://travel.qunar.com/p-oi34587907-kunyispan_classcolora,白云路西侧昆工路南侧金泰花园15-9A,(包头)
